title,artist
I Like Me Better - Recorded at Spotify Studios NYC,Lauv
Can't Help Falling in Love,Haley Reinhart
"Girl Crush - Recorded at Metropolis Studios, London",Harry Styles
I Will Spend My Whole Life Loving You,Imaginary Future
Location - Recorded at Spotify Studios NYC,AJR
Love Me Now - Recorded at Spotify Studios NYC,John Legend
Tenerife Sea,Ed Sheeran
Tequila,Dan + Shay
All I Want,Kodaline
Lucky,Jason Mraz
High Hope,Patrick Droney
Kiss Me,Ed Sheeran
Make You Feel My Love,Adele
A Thousand Years,Christina Perri
Bubbly,Colbie Caillat
I Won't Give Up,Jason Mraz
Perfect,Ed Sheeran
How Long Will I Love You - Bonus Track,Ellie Goulding
Night Changes,One Direction
Lost Stars,Adam Levine
If I Ain¡¯t Got You - James Bay Spotify Session 2015 Alicia Keys Cover,James Bay
Photograph,Ed Sheeran
Marry Me,Train
Gravity,Sara Bareilles
Chasing Cars,Snow Patrol
Like I'm Gonna Lose You,Meghan Trainor
I'm Yours,Jason Mraz
Fix You,Coldplay
Stay With Me,Sam Smith
Somewhere Only We Know,Lily Allen
Turning Page,Sleeping At Last
If I Ain't Got You,Alicia Keys
Yellow,Coldplay
Cherry Wine - Live,Hozier
Better Together,Jack Johnson
Stuck With Me,Timeflies
Turning Tables,Adele
The Scientist,Coldplay
Thinking Out Loud,Ed Sheeran
All of Me,John Legend
Every Breath You Take (feat. Liza Anne),Aaron Krause
Say You Love Me,Jessie Ware
Latch - Acoustic,Sam Smith
Stay With Me - Live From Spotify Berlin,Angus & Julia Stone
One Call Away,Charlie Puth
Iris,The Goo Goo Dolls
Collide,Howie Day
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
"Flightless Bird, American Mouth",Iron & Wine
Poison & Wine,The Civil Wars
Paperweight by Joshua Radin and Schuyler Fisk,Joshua Radin
Hold You in My Arms,Ray LaMontagne
The Heart of Life,John Mayer
First Day Of My Life,Bright Eyes
Do You Remember,Jack Johnson
Dust to Dust,The Civil Wars
I Will Follow You Into The Dark,Death Cab for Cutie
The Blower's Daughter,Damien Rice
Wonderwall,Ryan Adams
All My Days,Alexi Murdoch
Sleeping on the Blacktop,Colter Wall
Woman Like A Man - Live Radio Session,Damien Rice
Power Over Me - Acoustic,Dermot Kennedy
NFWMB,Hozier
River,Bishop Briggs
Making Love on the Mountain - Sexy Mix,The Woodlands
Devil's Backbone,The Civil Wars
Bad Things,Rayland Baxter
Work Song,Hozier
Too Repressed - Explicit,Sometymes Why
Uncuff Me,Nikolaj Grandjean
By Night,Puzzle Muteson
Wretched Body,Beth Rowley
Hard Time,Seinabo Sey
All On My Mind - Single Version,Anderson East
Everybody Here Wants You,Jeff Buckley
Volcano,Damien Rice
I Can't Go On Without You,KALEO
"Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny",James Vincent McMorrow
Used,Wyvern Lingo
In Dreams,Ben Howard
Lovers Who Make Love,Ciaran Lavery
Move Together,James Bay
Thirty,The Weather Station
Revelry,The Careful Ones
Forget - Live From Spotify NYC,Lianne La Havas
Hallelujah,Jeff Buckley
Shame,Ciaran Lavery
Middle of the Bed,Lucy Rose
Your Flesh Is So Nice,Jeff Buckley
It Will Come Back,Hozier
I Remember,Damien Rice
You Come Down,Marika Hackman
Both Hands,Ani DiFranco
I Got What I Wanted,Joan Shelley
Burn,Ray LaMontagne
Chateau Lobby #4 (in C for Two Virgins),Father John Misty
This Love,Julia Stone
